Date,Station,site_no,Mean Flow,Peak Flow,Median Flow,Coeff Var,Skew,Tqmean,R-B Index,7Q,3xMedian
1969/10/1,Wildcat,3335000,883.9972603,6980,510,126.7506748,3.007030856,0.268493151,0.26191738,142,49
1970/10/1,Wildcat,3335000,602.2630137,6120,378,128.7419917,3.776019777,0.22739726,0.284179305,130.5714286,36
1971/10/1,Wildcat,3335000,717.9071038,10500,338.5,162.126439,4.592099388,0.254098361,0.23881273,115.5714286,56
1972/10/1,Wildcat,3335000,1204.884932,6020,776,96.85316496,1.750376342,0.328767123,0.236296082,145.7142857,50
1973/10/1,Wildcat,3335000,1359.386301,11800,672,138.310449,2.651093345,0.260273973,0.239056303,130.8571429,69
1974/10/1,Wildcat,3335000,780.9890411,6840,508,122.7948759,3.381166835,0.287671233,0.288233045,124.7142857,40
1975/10/1,Wildcat,3335000,732.7677596,9340,306.5,175.8821022,3.969008721,0.202185792,0.272479147,108.4285714,59
1976/10/1,Wildcat,3335000,320.4986301,2510,134,127.641933,2.607683511,0.298630137,0.239002582,57.71428571,85
1977/10/1,Wildcat,3335000,1096.120548,10800,400,154.2862097,2.957403712,0.246575342,0.250177463,97.71428571,85
1978/10/1,Wildcat,3335000,681.709589,8200,306,150.1036632,3.977345752,0.263013699,0.323433431,99.28571429,79
1979/10/1,Wildcat,3335000,877.726776,11900,415,151.4220738,4.638350088,0.237704918,0.259170485,139.7142857,70
1980/10/1,Wildcat,3335000,598.2547945,8890,235,155.9111958,4.516255941,0.287671233,0.264463302,115.5714286,91
1981/10/1,Wildcat,3335000,1140.065753,8660,533,127.7029629,2.573767442,0.271232877,0.273363228,141.8571429,76
1982/10/1,Wildcat,3335000,838.8136986,17800,430,180.6544474,6.829242533,0.268493151,0.269385662,102.8571429,58
1983/10/1,Wildcat,3335000,770.8415301,7430,351.5,142.6607089,2.873679882,0.245901639,0.222700335,99.42857143,72
1984/10/1,Wildcat,3335000,773.8383562,17100,283,218.7211431,6.05557803,0.183561644,0.266382488,85.28571429,63
1985/10/1,Wildcat,3335000,925.9561644,8000,442,142.0091056,2.978897574,0.279452055,0.276725429,86.42857143,69
1986/10/1,Wildcat,3335000,310.3534247,1750,248,75.45527896,2.477809372,0.293150685,0.166809382,94.14285714,23
1987/10/1,Wildcat,3335000,559.6994536,5950,235,140.1742983,3.293300153,0.295081967,0.204510618,82.85714286,90
1988/10/1,Wildcat,3335000,853.9232877,16100,421,190.4216148,5.453989396,0.197260274,0.316755539,69.42857143,52
1989/10/1,Wildcat,3335000,943.4767123,10400,574,136.8320832,3.995721629,0.252054795,0.272303837,154.2857143,43
1990/10/1,Wildcat,3335000,964.5534247,16300,562,163.7232446,5.891463331,0.293150685,0.254710818,80.42857143,51
1991/10/1,Wildcat,3335000,829.6612022,12700,420,171.1321477,5.229642888,0.221311475,0.241444266,128.7142857,48
1992/10/1,Wildcat,3335000,1460.142466,14700,825,125.1170846,3.459737162,0.260273973,0.288812126,200.4285714,53
1993/10/1,Wildcat,3335000,855.1260274,10900,445,143.5328573,4.431682507,0.293150685,0.275755236,140.5714286,50
1994/10/1,Wildcat,3335000,503.4739726,5090,295,129.9435198,3.485480465,0.224657534,0.228772147,83.28571429,47
1995/10/1,Wildcat,3335000,627.2595628,7400,241.5,146.608845,3.213714314,0.275956284,0.266416061,81.42857143,93
1996/10/1,Wildcat,3335000,1021.479452,12800,497,150.2519665,4.015268698,0.293150685,0.281866216,86.57142857,72
1997/10/1,Wildcat,3335000,1052.915068,16600,322,182.0051311,4.450890709,0.260273973,0.300158204,73.42857143,102
1998/10/1,Wildcat,3335000,684.0821918,14700,265,200.7640785,6.941125908,0.257534247,0.248396011,60,80
1999/10/1,Wildcat,3335000,263.5532787,7090,130,191.010743,8.640943815,0.193989071,0.268966053,69.71428571,50
2000/10/1,Wildcat,3335000,513.9068493,4330,300,127.4998728,3.519018962,0.268493151,0.255208555,101.8571429,42
2001/10/1,Wildcat,3335000,992.7260274,6250,560,117.5707549,2.368134937,0.298630137,0.27836123,94.32857143,56
2002/10/1,Wildcat,3335000,992.7654795,19100,337,220.4745764,5.090371762,0.208219178,0.289987234,99.05714286,71
2003/10/1,Wildcat,3335000,962.9398907,15500,563,153.1425689,5.568310423,0.237704918,0.294166884,167.7142857,40
2004/10/1,Wildcat,3335000,947.9630137,17200,430,203.4890868,5.364000372,0.2,0.255814847,70.32857143,56
2005/10/1,Wildcat,3335000,700.9917808,6550,450,119.045485,3.551388527,0.290410959,0.240098178,137.5714286,44
2006/10/1,Wildcat,3335000,1081.503562,10200,535,138.0115719,3.012709211,0.304109589,0.285479779,77.15714286,68
2007/10/1,Wildcat,3335000,1078.030601,9910,631.5,119.2400413,2.859998006,0.344262295,0.28569477,83.24285714,60
2008/10/1,Wildcat,3335000,981.9720548,11200,260,158.3956936,3.153476525,0.282191781,0.33596135,92.95714286,120
2009/10/1,Wildcat,3335000,977.4789041,12700,571,135.9633176,4.526955017,0.295890411,0.273867242,110.1285714,42
2010/10/1,Wildcat,3335000,1020.660548,11200,307,155.6189984,2.839062487,0.268493151,0.297350816,91.28571429,103
2011/10/1,Wildcat,3335000,768.595082,8380,276,163.7225338,3.294700913,0.24863388,0.283015139,76.41428571,82
2012/10/1,Wildcat,3335000,1109.442466,21000,476,190.2850566,5.211523852,0.216438356,0.300296706,99.1,61
2013/10/1,Wildcat,3335000,775.8284932,8010,360,150.3243756,3.273290199,0.238356164,0.297843684,98.17142857,67
2014/10/1,Wildcat,3335000,1021.081967,7830,649,107.3754988,,0.257534247,,146.1428571,42
2015/10/1,Wildcat,3335000,713.3005464,10500,386.5,144.910782,5.241760137,0.308743169,0.265432761,125.5714286,61
2016/10/1,Wildcat,3335000,1216.515068,12600,540,137.9274211,2.912581887,0.287671233,0.338512436,141.2857143,80
2017/10/1,Wildcat,3335000,805.5394521,7800,350,149.7811942,3.117414745,0.230136986,0.337021154,85.68571429,67
2018/10/1,Wildcat,3335000,1426.660274,7740,973,98.55474545,1.967602386,0.326027397,0.289506482,138.2857143,45
1969/10/1,Tippe,3331500,707.6054795,3480,527,75.94614757,2.068467269,0.353424658,0.098537998,197.4285714,28
1970/10/1,Tippe,3331500,647.8383562,3390,518,80.08034927,2.242461481,0.378082192,0.091740287,169.8571429,21
1971/10/1,Tippe,3331500,828.4836066,3920,520,88.1673532,1.956537802,0.322404372,0.103800808,204.5714286,54
1972/10/1,Tippe,3331500,1351.073973,4620,1410,56.67535311,0.683756503,0.531506849,0.073936108,228.1428571,2
1973/10/1,Tippe,3331500,1039.358904,4650,852,86.74953275,1.268546009,0.397260274,0.081319886,189.2857143,27
1974/10/1,Tippe,3331500,925.4712329,4690,713,79.04644078,1.96293481,0.4,0.097582276,174.5714286,27
1975/10/1,Tippe,3331500,868.3005464,4990,511,107.877664,2.40631832,0.275956284,0.082684598,191.2857143,50
1976/10/1,Tippe,3331500,561.0931507,2800,308,88.8965947,1.904576542,0.298630137,0.085054126,196.1428571,68
1977/10/1,Tippe,3331500,945.0547945,6640,490,117.9395986,2.558523795,0.268493151,0.078658917,161.5714286,64
1978/10/1,Tippe,3331500,716.7123288,7390,330,128.9514042,3.597541774,0.249315068,0.109812691,170.5714286,85
1979/10/1,Tippe,3331500,898.6693989,5270,633,93.96459677,2.063889964,0.284153005,0.107979922,190.4285714,48
1980/10/1,Tippe,3331500,1253.158904,8450,580,111.3270028,2.42509019,0.298630137,0.11416191,303.4285714,79
1981/10/1,Tippe,3331500,1142.506849,8370,658,117.1302475,3.01355763,0.268493151,0.082678081,233.8571429,60
1982/10/1,Tippe,3331500,944.7150685,4770,700,88.43600143,1.745291147,0.345205479,0.09842208,165.4285714,39
1983/10/1,Tippe,3331500,868.3360656,3840,541,89.10011578,1.640731791,0.336065574,0.085742784,181.4285714,52
1984/10/1,Tippe,3331500,1152.986301,8420,687,115.5840794,2.541135562,0.282191781,0.098541013,206,58
1985/10/1,Tippe,3331500,972.7972603,3140,853,57.11341946,0.938335459,0.410958904,0.095513292,219,4
1986/10/1,Tippe,3331500,802.6383562,4180,760,62.30434854,3.051547955,0.419178082,0.075326918,262.1428571,6
1987/10/1,Tippe,3331500,641.5027322,2620,411,86.05704876,1.360762053,0.37704918,0.091264534,141.7142857,57
1988/10/1,Tippe,3331500,620.4876712,2000,559,55.29769856,1.24658372,0.383561644,0.078312242,169.2857143,4
1989/10/1,Tippe,3331500,1216.953425,6970,927,94.03677324,2.517632367,0.328767123,0.106853404,227.7142857,30
1990/10/1,Tippe,3331500,1344.30137,6720,1290,77.33425661,1.843673769,0.44109589,0.095161718,193.5714286,11
1991/10/1,Tippe,3331500,721.068306,1930,664.5,48.65167804,0.687320738,0.407103825,0.071118673,249.4285714,0
1992/10/1,Tippe,3331500,1351.273973,6570,1150,69.30549765,2.101482659,0.41369863,0.094206381,341.2857143,12
1993/10/1,Tippe,3331500,1035.586301,5410,901,75.01028939,2.251381624,0.4,0.093960406,212.1428571,13
1994/10/1,Tippe,3331500,896.8383562,3200,674,78.64821874,1.461540417,0.336986301,0.093231626,195.7142857,34
1995/10/1,Tippe,3331500,865.6174863,5910,507.5,98.00822708,2.746939346,0.306010929,0.092653149,206.5714286,65
1996/10/1,Tippe,3331500,1439.430137,5240,1270,59.25190652,1.605117683,0.432876712,0.083451975,311.8571429,10
1997/10/1,Tippe,3331500,1425.791781,6100,1120,69.29515402,1.532664529,0.383561644,0.093440991,315.1428571,15
1998/10/1,Tippe,3331500,918.9506849,5200,483,95.07398562,1.723996385,0.375342466,0.084950971,146.2857143,82
1999/10/1,Tippe,3331500,531.7459016,1600,381.5,64.10543696,1.409769282,0.325136612,0.079447536,202.8571429,36
2000/10/1,Tippe,3331500,838.8767123,3260,662,69.7534014,2.074603717,0.284931507,0.084398576,294.7142857,22
2001/10/1,Tippe,3331500,1179.320548,4120,1060,72.65453316,0.815364196,0.438356164,0.079095927,167,7
2002/10/1,Tippe,3331500,509.909589,2830,340,86.54193558,2.782055374,0.317808219,0.094848939,157.7142857,30
2003/10/1,Tippe,3331500,838.8278689,3070,618.5,64.50563481,1.648519623,0.390710383,0.095781584,308.1428571,23
2004/10/1,Tippe,3331500,947.8027397,7150,546,105.7482409,2.456379386,0.339726027,0.094413033,154.8571429,69
2005/10/1,Tippe,3331500,580.339726,2350,472,67.46285288,2.039342063,0.350684932,0.085514389,190.2857143,19
2006/10/1,Tippe,3331500,1050.783562,3770,889,66.84712753,0.838186721,0.443835616,0.085355742,222,8
2007/10/1,Tippe,3331500,1430.54918,9030,1055,100.9395945,2.733062136,0.407103825,0.113415116,211.8571429,25
2008/10/1,Tippe,3331500,1179.293151,9410,695,106.902661,2.996596363,0.367123288,0.101502641,239.1428571,57
2009/10/1,Tippe,3331500,840.6876712,2870,781,50.50622335,1.286527979,0.454794521,0.071461393,297.1428571,4
2010/10/1,Tippe,3331500,937.7452055,5370,425,100.3593078,1.723433644,0.342465753,0.08634527,201.8571429,104
2011/10/1,Tippe,3331500,877.8415301,5070,522.5,100.8091753,1.57184163,0.371584699,0.073382303,106.2857143,61
2012/10/1,Tippe,3331500,911.0958904,6220,512,112.3192547,2.268718108,0.290410959,0.11849346,167.5714286,62
2013/10/1,Tippe,3331500,891.3178082,4670,584,87.41338442,1.884464947,0.306849315,0.096458684,235.4285714,54
2014/10/1,Tippe,3331500,1037.49589,5720,788,73.9489164,2.407261222,0.287671233,0.093998722,353,29
2015/10/1,Tippe,3331500,760.8934426,2670,572,62.08019226,1.242263744,0.385245902,0.079716468,213.1428571,17
2016/10/1,Tippe,3331500,1116.320548,2880,959,57.21667987,0.92230384,0.397260274,0.083581826,330.8571429,1
2017/10/1,Tippe,3331500,1055.750685,7940,755,93.86819177,3.784975328,0.350684932,0.088563873,275.5714286,21
2018/10/1,Tippe,3331500,1167.331507,3920,1160,52.8708156,1.002214498,0.498630137,0.074014964,319.2857143,3
