Date,Station,site_no,Mean Flow,Coeff Var,Tqmean,R-B Index
1969/10/1,Wildcat,3335000,1298,139.2630084,0.258064516,0.323475322
1969/11/1,Wildcat,3335000,1675.833333,88.04690928,0.3,0.22544008
1969/12/1,Wildcat,3335000,552.1935484,32.11664983,0.483870968,0.074658254
1970/1/1,Wildcat,3335000,428.7741935,115.9040165,0.129032258,0.219079145
1970/2/1,Wildcat,3335000,588.6071429,43.67353387,0.321428571,0.107517748
1970/3/1,Wildcat,3335000,886.6774194,72.60561232,0.35483871,0.238731036
1970/4/1,Wildcat,3335000,2097.633333,88.90652219,0.4,0.317516566
1970/5/1,Wildcat,3335000,1481.129032,66.32438982,0.322580645,0.261134705
1970/6/1,Wildcat,3335000,353.3,32.28252943,0.433333333,0.052552128
1970/7/1,Wildcat,3335000,511.483871,132.4525707,0.193548387,0.370585267
1970/8/1,Wildcat,3335000,489.0967742,97.9079417,0.322580645,0.296003166
1970/9/1,Wildcat,3335000,243.5666667,71.55019101,0.233333333,0.166552621
1970/10/1,Wildcat,3335000,450.2258065,47.26058268,0.35483871,0.165293401
1970/11/1,Wildcat,3335000,603.4333333,37.87938055,0.3,0.167154615
1970/12/1,Wildcat,3335000,439.5483871,16.77610685,0.419354839,0.066490533
1971/1/1,Wildcat,3335000,298.7096774,46.19783025,0.419354839,0.117710583
1971/2/1,Wildcat,3335000,1812.142857,96.47234884,0.464285714,0.349428459
1971/3/1,Wildcat,3335000,1169.064516,56.98478567,0.387096774,0.197621478
1971/4/1,Wildcat,3335000,309.6333333,24.56808049,0.3,0.044138228
1971/5/1,Wildcat,3335000,745.9677419,110.5290944,0.258064516,0.388454054
1971/6/1,Wildcat,3335000,721.4333333,123.9940686,0.2,0.547012891
1971/7/1,Wildcat,3335000,263.9354839,59.52170253,0.225806452,0.221950623
1971/8/1,Wildcat,3335000,176.5483871,52.39032061,0.193548387,0.212315001
1971/9/1,Wildcat,3335000,339.5666667,114.9149896,0.233333333,0.506920585
